"","CourseTitle","Term","Faculty","CourseSection","Phase","Area","Campus","Meeting Pattern","Bids","Closing Cost","Seats Available","Total seats","Enrolled","Program","WaitList","OpenSeats","Class","InstructorOverall","Learning","Difficulty","Global","Examples","Workload","Total Responses","Number of enrollees","year","quarter","phase","course","credit","eff"
"2221","Financial Strategy and Tax","Winter 2017","Petersen, Mitchell","FINC-447-0 (81)","Winter 2017 Bidding Phase II","FINC","Evanston","Mon 6:30 PM - 9:30 PM",1,0,6,10,1,"Evening",0,5,5,5.5,5.3,5.8,5.3,5.4,3.7,39,45,2017,"Winter","II","FINC-447",1,0
"2222","Mergers and Acquisitions, LBOs and Corporate Restructuring","Winter 2017","Liberti, Jose Maria","FINC-448-0 (81)","Winter 2017 Bidding Phase I","FINC","Evanston","Wed 6:30 PM - 9:30 PM",2,0,8,8,2,"Evening",0,6,5.9,6,6,6,5.5,5.9,5.9,29,32,2017,"Winter","I","FINC-448",1,0
"2223","Mergers and Acquisitions, LBOs and Corporate Restructuring","Winter 2017","Liberti, Jose Maria","FINC-448-0 (81)","Winter 2017 Bidding Phase II","FINC","Evanston","Wed 6:30 PM - 9:30 PM",2,0,7,8,2,"Evening",0,5,5.9,6,6,6,5.5,5.9,5.9,29,32,2017,"Winter","II","FINC-448",1,0
"2224","Money Markets and the Fed","Winter 2017","Marshall, David","FINC-451-0 (30)","Winter 2017 Bidding Phase I","FINC","Chicago","Mon 6:00 PM - 9:00 PM",23,0,50,50,23,"Evening",0,27,5.4,5.5,5.7,5.5,5.7,5.9,3.1,14,19,2017,"Winter","I","FINC-451",1,0
"2225","Money Markets and the Fed","Winter 2017","Marshall, David","FINC-451-0 (30)","Winter 2017 Bidding Phase II","FINC","Chicago","Mon 6:00 PM - 9:00 PM",3,0,33,50,3,"Evening",0,30,5.4,5.5,5.7,5.5,5.7,5.9,3.1,14,19,2017,"Winter","II","FINC-451",1,0
"2226","Real Estate Finance and Investments","Winter 2017","Nathanson, Charles","FINC-454-0 (70)","Winter 2017 Bidding Phase I","FINC","Chicago","Wed 6:00 PM - 9:00 PM",30,0,44,44,30,"Evening",0,14,4.9,5,5.4,5.3,5,5.6,3.4,23,30,2017,"Winter","I","FINC-454",1,0
"2227","Real Estate Finance and Investments","Winter 2017","Nathanson, Charles","FINC-454-0 (70)","Winter 2017 Bidding Phase II","FINC","Chicago","Wed 6:00 PM - 9:00 PM",1,0,14,44,1,"Evening",0,13,4.9,5,5.4,5.3,5,5.6,3.4,23,30,2017,"Winter","II","FINC-454",1,0
"2228","Derivative Markets II","Winter 2017","Unknown","FINC-467-0 (X81)","Winter 2017 Bidding Phase I","FINC","Evanston",NA,0,0,10,10,0,"Evening",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"Winter","I","FINC-467",1,NA
"2229","Financial Modeling for Leveraged Buyout Transactions","Winter 2017","Saraiya, Chirag","FINC-940-5 (30)","Winter 2017 Bidding Phase I","FINC","Chicago","Wed 6:00 PM - 9:00 PM",12,0,25,25,12,"Evening",0,13,5.9,5.9,5.8,5.6,5.2,5.5,3.3,15,17,2017,"Winter","I","FINC-940",0.5,0
"2230","Financial Modeling for Leveraged Buyout Transactions","Winter 2017","Saraiya, Chirag","FINC-940-5 (30)","Winter 2017 Bidding Phase II","FINC","Chicago","Wed 6:00 PM - 9:00 PM",1,0,15,25,1,"Evening",0,14,5.9,5.9,5.8,5.6,5.2,5.5,3.3,15,17,2017,"Winter","II","FINC-940",0.5,0
"2231","Macroeconomic Policy and Global Capital Markets","Winter 2017","Crouzet, Nicolas","FINC-941-0 (70)","Winter 2017 Bidding Phase I","FINC","Chicago","Tue 6:00 PM - 9:00 PM",10,0,44,44,10,"Evening",0,34,5.6,5.6,5.6,5.6,6,4.8,2.6,5,11,2017,"Winter","I","FINC-941",1,0
"2232","Macroeconomic Policy and Global Capital Markets","Winter 2017","Crouzet, Nicolas","FINC-941-0 (70)","Winter 2017 Bidding Phase II","FINC","Chicago","Tue 6:00 PM - 9:00 PM",4,0,34,44,4,"Evening",0,30,5.6,5.6,5.6,5.6,6,4.8,2.6,5,11,2017,"Winter","II","FINC-941",1,0
"2233","Impact Investing and Sustainable Finance","Winter 2017","Chen, David","FINC-946-0 (81)","Winter 2017 Bidding Phase I","FINC","Evanston","Tue 6:30 PM - 9:30 PM",9,0,10,10,9,"Evening",0,1,4.6,5.1,4.8,4.8,5.2,5.5,2.6,25,31,2017,"Winter","I","FINC-946",1,0
"2234","Impact Investing and Sustainable Finance","Winter 2017","Chen, David","FINC-946-0 (81)","Winter 2017 Bidding Phase II","FINC","Evanston","Tue 6:30 PM - 9:30 PM",0,0,2,10,0,"Evening",0,2,4.6,5.1,4.8,4.8,5.2,5.5,2.6,25,31,2017,"Winter","II","FINC-946",1,0
"2235","Capital Markets","Winter 2017","Dew-Becker, Ian","FINC-950-0 (70)","Winter 2017 Bidding Phase I","FINC","Chicago","Thu 6:00 PM - 9:00 PM",22,0,44,44,22,"Evening",0,22,5,5.5,5.6,5.8,5.4,5.4,3.1,8,13,2017,"Winter","I","FINC-950",1,0
"2236","Capital Markets","Winter 2017","Dew-Becker, Ian","FINC-950-0 (70)","Winter 2017 Bidding Phase II","FINC","Chicago","Thu 6:00 PM - 9:00 PM",2,0,26,44,2,"Evening",0,24,5,5.5,5.6,5.8,5.4,5.4,3.1,8,13,2017,"Winter","II","FINC-950",1,0
"2237","Managing in Professonal Service Firms","Fall 2016","Ziegler, Elizabeth","MORS-934-0 (81)","Fall 2016 Bidding Phase I","MORS","Evanston","Mon 6:30 PM - 9:30 PM",4,0,5,5,4,"Evening",0,1,4.8,5.3,5,5,4.6,5.1,2.6,27,29,2016,"Fall","I","MORS-934",1,0
"2238","Negotiations Fundamentals","Fall 2016","Kteily, Nour","MORS-472-5 (80)","Fall 2016 Bidding Phase I","MORS","Evanston","Fri 1:30 PM - 4:30 PM",4,0,7,7,4,"Evening",0,3,5.6,5.8,5.7,5.6,4.7,5.3,2.4,23,30,2016,"Fall","I","MORS-472",0.5,0
"2239","Negotiations Fundamentals","Fall 2016","Kteily, Nour","MORS-472-5 (80)","Fall 2016 Bidding Phase II","MORS","Evanston","Fri 1:30 PM - 4:30 PM",1,0,3,7,1,"Evening",0,2,5.6,5.8,5.7,5.6,4.7,5.3,2.4,23,30,2016,"Fall","II","MORS-472",0.5,0
"2240","Managing in Professonal Service Firms","Fall 2016","Bette, Gerhard","MORS-934-0 (81)","Fall 2016 Bidding Phase I","MORS","Evanston","Mon 6:30 PM - 9:30 PM",4,0,5,5,4,"Evening",0,1,4.3,3.7,4.5,4.3,4.4,4.7,2.6,27,29,2016,"Fall","I","MORS-934",1,0
"2241","Strategy Implementation","Fall 2016","Smith, Edward (Ned)","MORS-455-0 (62)","Fall 2016 Bidding Phase I","MORS","Evanston","Tue/Fri 1:30 PM - 3:00 PM",36,0,48,50,48,"Full-Time",0,0,4.7,5.2,4.7,4.7,4.6,5.2,2.2,40,47,2016,"Fall","I","MORS-455",1,0
"2242","Managing in Professonal Service Firms","Fall 2016","Bette, Gerhard","MORS-934-0 (81)","Fall 2016 Bidding Phase II","MORS","Evanston","Mon 6:30 PM - 9:30 PM",0,0,0,25,0,"Full-Time",0,0,4.3,3.7,4.5,4.3,4.4,4.7,2.6,27,29,2016,"Fall","II","MORS-934",1,0
"2243","Negotiations Fundamentals","Fall 2016","Kteily, Nour","MORS-472-5 (80)","Fall 2016 Bidding Phase II","MORS","Evanston","Fri 1:30 PM - 4:30 PM",0,0,0,26,0,"Full-Time",0,0,5.6,5.8,5.7,5.6,4.7,5.3,2.4,23,30,2016,"Fall","II","MORS-472",0.5,0
"2244","Cross-Cultural Negotiation","Fall 2016","Brett, Jeanne","MORS-474-0 (61)","Fall 2016 Bidding Phase I","MORS","Evanston","Tue 1:30 PM - 4:30 PM",31,0,32,36,31,"Full-Time",0,1,4.7,4.3,5.3,4.9,5.6,5.2,2.3,34,36,2016,"Fall","I","MORS-474",1,0
"2245","Strategic Brand Management","Fall 2016","Roese, Neal","MKTG-925-0 (61)","Fall 2016 Bidding Phase I","MKTG","Evanston","Mon/Thu 3:30 PM - 5:00 PM",23,0,61,65,23,"Full-Time",0,38,3.9,4.1,4.4,4.1,4.9,5.2,1.9,33,41,2016,"Fall","I","MKTG-925",1,0
"2246","Strategic Brand Management","Fall 2016","Roese, Neal","MKTG-925-0 (61)","Fall 2016 Bidding Phase II","MKTG","Evanston","Mon/Thu 3:30 PM - 5:00 PM",29,0,42,65,29,"Full-Time",0,13,3.9,4.1,4.4,4.1,4.9,5.2,1.9,33,41,2016,"Fall","II","MKTG-925",1,0
"2247","Leadership in Organizations","Fall 2016","Pearce, Nicholas","MORS-430-0 (71)","Fall 2016 Bidding Phase I","MORS","Chicago","Mon 6:00 PM - 9:00 PM",2,0,65,65,2,"Evening",0,63,5.5,5.8,5.6,5.3,5.1,5.3,2.7,49,51,2016,"Fall","I","MORS-430",1,0
"2248","Leadership in Organizations","Fall 2016","Pearce, Nicholas","MORS-430-0 (71)","Fall 2016 Bidding Phase II","MORS","Chicago","Mon 6:00 PM - 9:00 PM",1,0,63,65,1,"Evening",0,62,5.5,5.8,5.6,5.3,5.1,5.3,2.7,49,51,2016,"Fall","II","MORS-430",1,0
"2249","Leadership in Organizations","Fall 2016","Nordgren, Loran","MORS-430-0 (72)","Fall 2016 Bidding Phase I","MORS","Chicago","Wed 6:00 PM - 9:00 PM",3,0,65,65,3,"Evening",0,62,5.7,5.9,5.9,5.3,5,5.6,2.5,50,50,2016,"Fall","I","MORS-430",1,0
"2250","Retail Analytics","Fall 2016","Anderson, Eric","MKTG-462-0 (70)","Fall 2016 Bidding Phase I","MKTG","Chicago","Sat 9:00 AM - 12:00 PM",22,0,40,40,22,"Weekend",0,18,5.9,5.9,5.9,5.9,5.6,5.8,3.9,31,36,2016,"Fall","I","MKTG-462",1,0
"2251","Retail Analytics","Fall 2016","Anderson, Eric","MKTG-462-0 (70)","Fall 2016 Bidding Phase II","MKTG","Chicago","Sat 9:00 AM - 12:00 PM",4,0,19,40,4,"Weekend",0,15,5.9,5.9,5.9,5.9,5.6,5.8,3.9,31,36,2016,"Fall","II","MKTG-462",1,0
"2252","Retail Analytics","Fall 2016","Anderson, Eric","MKTG-462-0 (80)","Fall 2016 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",2,0,3,3,2,"Weekend",0,1,5.4,5.4,5.7,5.7,5.4,5.5,3.4,43,56,2016,"Fall","I","MKTG-462",1,0
"2253","Retail Analytics","Fall 2016","Anderson, Eric","MKTG-462-0 (80)","Fall 2016 Bidding Phase II","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",0,0,1,3,0,"Weekend",0,1,5.4,5.4,5.7,5.7,5.4,5.5,3.4,43,56,2016,"Fall","II","MKTG-462",1,0
"2254","Marketing Strategy","Fall 2016","Krishnamurthi, Lakshman","MKTG-466-0 (70)","Fall 2016 Bidding Phase I","MKTG","Chicago","Mon 6:00 PM - 9:00 PM",0,0,5,5,0,"Weekend",0,5,5,5.3,5.2,5.2,5.3,5.5,3.2,32,34,2016,"Fall","I","MKTG-466",1,0
"2255","Marketing Strategy","Fall 2016","Krishnamurthi, Lakshman","MKTG-466-0 (70)","Fall 2016 Bidding Phase II","MKTG","Chicago","Mon 6:00 PM - 9:00 PM",1,0,5,5,1,"Weekend",0,4,5,5.3,5.2,5.2,5.3,5.5,3.2,32,34,2016,"Fall","II","MKTG-466",1,0
"2256","Consumers, Culture, and Leadership","Fall 2016","Carpenter, Gregory","MKTG-918-5 (80)","Fall 2016 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",5,0,7,7,5,"Weekend",0,2,4.6,5,4.9,4.4,5.1,5.3,2.1,15,47,2016,"Fall","I","MKTG-918",0.5,0
"2257","Consumers, Culture, and Leadership","Fall 2016","Carpenter, Gregory","MKTG-918-5 (80)","Fall 2016 Bidding Phase II","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",0,0,2,7,0,"Weekend",0,2,4.6,5,4.9,4.4,5.1,5.3,2.1,15,47,2016,"Fall","II","MKTG-918",0.5,0
"2258","Strategic Brand Management","Fall 2016","Roese, Neal","MKTG-925-0 (76)","Fall 2016 Bidding Phase I","MKTG","Chicago","Sat 1:30 PM - 4:30 PM",23,0,65,65,23,"Weekend",0,42,4.3,4.7,4.5,4.5,5.4,5.4,2.7,16,35,2016,"Fall","I","MKTG-925",1,0
"2259","Strategic Brand Management","Fall 2016","Roese, Neal","MKTG-925-0 (76)","Fall 2016 Bidding Phase II","MKTG","Chicago","Sat 1:30 PM - 4:30 PM",2,0,43,65,2,"Weekend",0,41,4.3,4.7,4.5,4.5,5.4,5.4,2.7,16,35,2016,"Fall","II","MKTG-925",1,0
"2260","Leadership and Crisis Management","Fall 2016","Austen-Smith, David","KPPI-440-5 (76)","Fall 2016 Bidding Phase I","KPPI","Chicago","Non-Standard Meetings",16,0,36,65,16,"Weekend",0,20,4.8,5.3,5.3,5.2,5.1,5.5,2.5,61,66,2016,"Fall","I","KPPI-440",0.5,0
"2261","Leadership and Crisis Management","Fall 2016","Austen-Smith, David","KPPI-440-5 (76)","Fall 2016 Bidding Phase II","KPPI","Chicago","Non-Standard Meetings",6,0,17,65,6,"Weekend",0,11,4.8,5.3,5.3,5.2,5.1,5.5,2.5,61,66,2016,"Fall","II","KPPI-440",0.5,0
"2262","Strategy Beyond Markets","Fall 2016","Persico, Nicola","KPPI-441-0 (70)","Fall 2016 Bidding Phase I","KPPI","Chicago","Fri 6:00 PM - 9:00 PM",18,0,33,33,18,"Weekend",0,15,5.5,5.7,5.8,5.6,5.8,5.8,2.8,36,48,2016,"Fall","I","KPPI-441",1,0
"2263","Strategy Beyond Markets","Fall 2016","Persico, Nicola","KPPI-441-0 (70)","Fall 2016 Bidding Phase II","KPPI","Chicago","Fri 6:00 PM - 9:00 PM",3,0,17,33,3,"Weekend",0,14,5.5,5.7,5.8,5.6,5.8,5.8,2.8,36,48,2016,"Fall","II","KPPI-441",1,0
"2264","Pricing Strategies","Fall 2016","Dale, Donald","MECN-446-0 (70)","Fall 2016 Bidding Phase I","MECN","Chicago",NA,25,0,55,55,25,"Evening",0,30,4.8,5.1,5.2,5.3,4.3,5.1,3.3,22,25,2016,"Fall","I","MECN-446",1,0
"2265","Pricing Strategies","Fall 2016","Dale, Donald","MECN-446-0 (70)","Fall 2016 Bidding Phase II","MECN","Chicago",NA,3,0,32,55,3,"Evening",0,29,4.8,5.1,5.2,5.3,4.3,5.1,3.3,22,25,2016,"Fall","II","MECN-446",1,0
"2266","Macroeconomics","Fall 2016","Hu, Tai-Wei","MECN-450-0 (70)","Fall 2016 Bidding Phase I","MECN","Chicago","Thu 6:00 PM - 9:00 PM",13,0,55,55,13,"Evening",0,42,4.4,4.4,5.6,5.4,5.5,5.1,3,8,9,2016,"Fall","I","MECN-450",1,0
"2267","Macroeconomics","Fall 2016","Hu, Tai-Wei","MECN-450-0 (70)","Fall 2016 Bidding Phase II","MECN","Chicago","Thu 6:00 PM - 9:00 PM",1,0,43,55,1,"Evening",0,42,4.4,4.4,5.6,5.4,5.5,5.1,3,8,9,2016,"Fall","II","MECN-450",1,0
"2268","Thought Leadership Seminar","Fall 2016","Qian, Nancy","MECN-484-5 (71)","Fall 2016 Bidding Phase I","MECN","Chicago","Thu 6:00 PM - 9:00 PM",4,0,30,30,4,"Evening",0,26,4.2,5,4.2,4.6,5.5,4.6,2.2,5,10,2016,"Fall","I","MECN-484",0.5,0
"2269","Thought Leadership Seminar","Fall 2016","Qian, Nancy","MECN-484-5 (71)","Fall 2016 Bidding Phase II","MECN","Chicago","Thu 6:00 PM - 9:00 PM",2,0,26,30,2,"Evening",0,24,4.2,5,4.2,4.6,5.5,4.6,2.2,5,10,2016,"Fall","II","MECN-484",0.5,0
"2270","Competitive Strategy and Industrial Structure","Fall 2016","Salant, Yuval","MECN-441-0 (61)","Fall 2016 Bidding Phase I","MECN","Evanston","Tue/Fri 1:30 PM - 3:00 PM",48,0,61,62,48,"Full-Time",0,13,4.8,4.9,5.3,5.2,4.8,5.4,2.9,31,47,2016,"Fall","I","MECN-441",1,0
"2271","Marketing Research and Analytics","Fall 2016","Bockenholt, Ulf","MKTG-450-0 (61)","Fall 2016 Bidding Phase I","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",34,0,65,65,34,"Full-Time",0,31,4.6,5,5.3,5,4.3,4.9,3.3,33,49,2016,"Fall","I","MKTG-450",1,0
"2272","Marketing Research and Analytics","Fall 2016","Bockenholt, Ulf","MKTG-450-0 (61)","Fall 2016 Bidding Phase II","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",31,0,32,65,31,"Full-Time",0,1,4.6,5,5.3,5,4.3,4.9,3.3,33,49,2016,"Fall","II","MKTG-450",1,0
"2273","Advertising Strategy","Fall 2016","Sternthal, Brian","MKTG-454-0 (61)","Fall 2016 Bidding Phase I","MKTG","Evanston","Mon/Thu 1:30 PM - 3:00 PM",58,0,61,65,58,"Full-Time",0,3,3.9,4.3,4,4,4.4,4.9,2.7,40,61,2016,"Fall","I","MKTG-454",1,0
"2274","Competitive Strategy and Industrial Structure","Fall 2016","Salant, Yuval","MECN-441-0 (62)","Fall 2016 Bidding Phase I","MECN","Evanston","Tue/Fri 3:30 PM - 5:00 PM",24,0,60,62,24,"Full-Time",0,36,5.1,5.2,5.5,5.3,4.7,5.4,2.7,22,31,2016,"Fall","I","MECN-441",1,0
"2275","Competitive Strategy and Industrial Structure","Fall 2016","Salant, Yuval","MECN-441-0 (62)","Fall 2016 Bidding Phase II","MECN","Evanston","Tue/Fri 3:30 PM - 5:00 PM",30,0,38,62,34,"Full-Time",0,4,5.1,5.2,5.5,5.3,4.7,5.4,2.7,22,31,2016,"Fall","II","MECN-441",1,0
"2276","Macroeconomics","Fall 2016","Hu, Tai-Wei","MECN-450-0 (61)","Fall 2016 Bidding Phase I","MECN","Evanston","Mon/Thu 10:30 AM - 12:00 PM",41,0,58,58,41,"Full-Time",0,17,3.8,3.5,4.8,4.7,5.2,4.8,2.9,35,38,2016,"Fall","I","MECN-450",1,0
"2277","Retail Analytics","Fall 2016","Anderson, Eric","MKTG-462-0 (80)","Fall 2016 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",46,0,51,55,46,"Full-Time",0,5,5.4,5.4,5.7,5.7,5.4,5.5,3.4,43,56,2016,"Fall","I","MKTG-462",1,0
"2278","Launching New Products and Services","Fall 2016","Maimaran, Michal","MKTG-465-0 (61)","Fall 2016 Bidding Phase I","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",26,0,61,65,26,"Full-Time",0,35,3.7,4.3,4.1,3.8,4.1,5,2.5,45,55,2016,"Fall","I","MKTG-465",1,0
"2279","Launching New Products and Services","Fall 2016","Maimaran, Michal","MKTG-465-0 (61)","Fall 2016 Bidding Phase II","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",27,0,35,63,29,"Full-Time",0,6,3.7,4.3,4.1,3.8,4.1,5,2.5,45,55,2016,"Fall","II","MKTG-465",1,0
"2280","Launching New Products and Services","Fall 2016","Maimaran, Michal","MKTG-465-0 (62)","Fall 2016 Bidding Phase I","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",31,0,61,65,31,"Full-Time",0,30,3.7,4.3,4.4,4,3.9,4.9,2.6,38,47,2016,"Fall","I","MKTG-465",1,0
"2281","Marketing Strategy","Fall 2016","Calkins, Timothy","MKTG-466-0 (62)","Fall 2016 Bidding Phase I","MKTG","Evanston","Mon/Thu 10:30 AM - 12:00 PM",48,0,61,65,61,"Full-Time",0,0,5.3,5.4,5.2,4.8,4.8,5.3,3,40,65,2016,"Fall","I","MKTG-466",1,0
"2282","Consumers, Culture, and Leadership","Fall 2016","Carpenter, Gregory","MKTG-918-5 (80)","Fall 2016 Bidding Phase I","MKTG","Evanston","Fri 1:30 PM - 4:30 PM",35,0,41,45,35,"Full-Time",0,6,4.6,5,4.9,4.4,5.1,5.3,2.1,15,47,2016,"Fall","I","MKTG-918",0.5,0
"2283","Customer Analytics","Fall 2016","McShane, Blake","MKTG-953-0 (61)","Fall 2016 Bidding Phase I","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",26,0,61,65,26,"Full-Time",0,35,4.4,4.3,5,5.2,4.2,5,3.4,34,41,2016,"Fall","I","MKTG-953",1,0
"2284","Customer Analytics","Fall 2016","McShane, Blake","MKTG-953-0 (61)","Fall 2016 Bidding Phase II","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",25,0,35,65,27,"Full-Time",0,8,4.4,4.3,5,5.2,4.2,5,3.4,34,41,2016,"Fall","II","MKTG-953",1,0
"2285","Customer Analytics","Fall 2016","McShane, Blake","MKTG-953-0 (62)","Fall 2016 Bidding Phase I","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",42,0,61,65,42,"Full-Time",0,19,4.9,4.8,5.4,5.5,4.4,5.2,3.4,50,60,2016,"Fall","I","MKTG-953",1,0
"2286","New Venture Discovery","Summer 2016","Wrigley, Desiree","KIEI-462-0 (76)","Summer 2016 Bidding Phase I","KIEI","Chicago","Sat 1:30 PM - 4:30 PM",30,0,32,32,30,"Weekend",0,2,3.4,3.5,4.2,4.1,3,4,3,17,32,2016,"Summer","I","KIEI-462",1,0
"2287","Leadership in Organizations","Summer 2016","Rivera, Lauren","MORS-430-0 (76)","Summer 2016 Bidding Phase I","MORS","Chicago","Sat 9:00 AM - 12:00 PM",11,0,65,65,11,"Weekend",0,54,4.9,5.3,5.3,5,4.6,5.1,2.7,43,60,2016,"Summer","I","MORS-430",1,0
"2288","Leadership in Organizations","Summer 2016","Rivera, Lauren","MORS-430-0 (76)","Summer 2016 Bidding Phase II","MORS","Chicago","Sat 9:00 AM - 12:00 PM",4,0,54,65,4,"Weekend",0,50,4.9,5.3,5.3,5,4.6,5.1,2.7,43,60,2016,"Summer","II","MORS-430",1,0
"2289","Negotiations Fundamentals","Summer 2016","Unknown","MORS-472-5 (X76)","Summer 2016 Bidding Phase I","MORS","Chicago",NA,5,0,36,36,5,"Weekend",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Summer","I","MORS-472",0.5,NA
"2290","Negotiations Fundamentals","Summer 2016","Unknown","MORS-472-5 (X76)","Summer 2016 Bidding Phase II","MORS","Chicago",NA,1,0,33,36,1,"Weekend",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Summer","II","MORS-472",0.5,NA
"2291","Operations Management","Summer 2016","Shamir, Noam","OPNS-430-0 (71)","Summer 2016 Bidding Phase I","OPNS","Chicago","Tue 6:00 PM - 9:00 PM",61,0,64,65,61,"Evening",0,3,4.4,4.4,5,4.7,4.5,4.8,2.7,56,65,2016,"Summer","I","OPNS-430",1,0
"2292","Analytical Decision Modeling","Summer 2016","Durango-Cohen, Elizabeth","OPNS-450-0 (71)","Summer 2016 Bidding Phase I","OPNS","Chicago","Tue 6:00 PM - 9:00 PM",28,0,65,65,28,"Evening",0,37,4.2,4.6,5,4.9,3.6,4.1,3.4,16,28,2016,"Summer","I","OPNS-450",1,0
"2293","Analytical Decision Modeling","Summer 2016","Durango-Cohen, Elizabeth","OPNS-450-0 (71)","Summer 2016 Bidding Phase II","OPNS","Chicago","Tue 6:00 PM - 9:00 PM",4,0,37,65,4,"Evening",0,33,4.2,4.6,5,4.9,3.6,4.1,3.4,16,28,2016,"Summer","II","OPNS-450",1,0
"2294","Business Strategy","Summer 2016","Moore, Michael","STRT-431-0 (71)","Summer 2016 Bidding Phase I","STRT","Chicago","Thu 6:00 PM - 9:00 PM",27,0,65,65,27,"Evening",0,38,4.3,4,5.1,4.9,4.9,5.1,3.3,22,33,2016,"Summer","I","STRT-431",1,0
"2295","Business Strategy","Summer 2016","Moore, Michael","STRT-431-0 (71)","Summer 2016 Bidding Phase II","STRT","Chicago","Thu 6:00 PM - 9:00 PM",5,0,39,65,5,"Evening",0,34,4.3,4,5.1,4.9,4.9,5.1,3.3,22,33,2016,"Summer","II","STRT-431",1,0
"2296","Intellectual Capital Management","Summer 2016","Conley, James","STRT-441-0 (76)","Summer 2016 Bidding Phase I","STRT","Chicago","Sat 9:00 AM - 12:00 PM",12,0,65,65,12,"Weekend",0,53,5.1,5.4,5.5,5.5,5.5,5.6,3,21,22,2016,"Summer","I","STRT-441",1,0
"2297","Intellectual Capital Management","Summer 2016","Conley, James","STRT-441-0 (76)","Summer 2016 Bidding Phase II","STRT","Chicago","Sat 9:00 AM - 12:00 PM",10,0,53,65,10,"Weekend",0,43,5.1,5.4,5.5,5.5,5.5,5.6,3,21,22,2016,"Summer","II","STRT-441",1,0
"2298","Accounting For Decision Making","Fall 2016","Aobdia, Daniel","ACCT-430-0 (71)","Fall 2016 Bidding Phase I","ACCT","Chicago","Non-Standard Meetings",20,0,65,65,20,"Evening",0,45,4.4,4.8,5,4.9,4.8,5.1,3,65,65,2016,"Fall","I","ACCT-430",1,0
"2299","Accounting For Decision Making","Fall 2016","Aobdia, Daniel","ACCT-430-0 (71)","Fall 2016 Bidding Phase II","ACCT","Chicago","Non-Standard Meetings",1,0,45,65,1,"Evening",0,44,4.4,4.8,5,4.9,4.8,5.1,3,65,65,2016,"Fall","II","ACCT-430",1,0
"2300","Accounting For Decision Making","Fall 2016","Soffer, Robin","ACCT-430-0 (72H)","Fall 2016 Bidding Phase I","ACCT","Chicago","Thu 6:00 PM - 9:00 PM",5,0,65,65,5,"Evening",0,60,4.6,5.3,5.4,5.7,5.3,5.6,3.7,27,28,2016,"Fall","I","ACCT-430",1,0
"2301","Accounting For Decision Making","Fall 2016","Soffer, Robin","ACCT-430-0 (72H)","Fall 2016 Bidding Phase II","ACCT","Chicago","Thu 6:00 PM - 9:00 PM",1,0,60,65,1,"Evening",0,59,4.6,5.3,5.4,5.7,5.3,5.6,3.7,27,28,2016,"Fall","II","ACCT-430",1,0
"2302","Financial Planning for Mergers & Acquisitions","Fall 2016","Finn, Mark","ACCT-444-0 (71)","Fall 2016 Bidding Phase I","ACCT","Chicago","Thu 6:00 PM - 9:00 PM",24,0,65,65,24,"Evening",0,41,4.2,4.4,4.7,4.8,5.2,5.3,2.7,20,33,2016,"Fall","I","ACCT-444",1,0
"2303","Financial Planning for Mergers & Acquisitions","Fall 2016","Finn, Mark","ACCT-444-0 (71)","Fall 2016 Bidding Phase II","ACCT","Chicago","Thu 6:00 PM - 9:00 PM",2,0,44,65,2,"Evening",0,42,4.2,4.4,4.7,4.8,5.2,5.3,2.7,20,33,2016,"Fall","II","ACCT-444",1,0
"2304","Financial Planning for Mergers & Acquisitions","Fall 2016","Finn, Mark","ACCT-444-0 (61)","Fall 2016 Bidding Phase I","ACCT","Evanston","Tue/Fri 3:30 PM - 5:00 PM",60,0,61,65,60,"Full-Time",0,1,3.8,4.4,4.5,4.2,4.8,5.2,2.4,43,53,2016,"Fall","I","ACCT-444",1,0
"2305","Business Analytics I","Fall 2016","Mazzeo, Michael","DECS-430-5 (76)","Fall 2016 Bidding Phase I","DECS","Chicago","Sat 1:30 PM - 4:30 PM",1,0,36,65,1,"Weekend",0,35,5.1,5.5,5.1,5.1,4.8,5.3,2.6,22,34,2016,"Fall","I","DECS-430",0.5,0
"2306","Business Analytics I","Fall 2016","Schummer, James","DECS-430-5 (76)","Fall 2016 Bidding Phase I","DECS","Chicago","Sat 1:30 PM - 4:30 PM",1,0,36,65,1,"Weekend",0,35,5,5.4,5.2,5.1,4.7,5,2.6,22,34,2016,"Fall","I","DECS-430",0.5,0
